date,open,high,low,close,volume,money
7/24/2013,99.8,99.9,99.8,99.8,1520,151696
7/25/2013,99.8,99.88,99.8,99.88,1050,104874
7/26/2013,100,100,99.99,99.99,360,35996.4
7/29/2013,99.9,99.98,99.53,99.92,1500,149880
7/30/2013,99.9,99.93,99.9,99.92,180,17985.6
7/31/2013,99.9,99.94,99.81,99.9,670,66933
8/1/2013,99.9,99.92,99.8,99.81,480,47908.8
8/2/2013,99.94,99.94,99.7,99.91,1380,137875.8
8/5/2013,99.58,99.87,99.5,99.87,210,20972.7
8/6/2013,99.89,99.9,99.77,99.77,170,16960.9
8/7/2013,99.8,99.8,99.8,99.8,870,86826
8/8/2013,99.6,99.6,99.6,99.6,30,2988
8/12/2013,99.76,99.76,99.75,99.75,660,65835
8/13/2013,99.75,99.75,99.75,99.75,100,9975
8/14/2013,99.6,99.61,99.6,99.61,130,12949.3
8/15/2013,99.59,99.59,99.59,99.59,200,19918
8/16/2013,99.74,99.77,99.74,99.77,140,13967.8
8/19/2013,99.65,99.77,99.65,99.65,150,14947.5
8/20/2013,99.69,99.69,99.69,99.69,110,10965.9
8/22/2013,99.75,99.75,99.75,99.75,60,5985
8/23/2013,99.75,99.75,99.75,99.75,300,29925
8/26/2013,99.65,99.65,99.61,99.61,110,10957.1
8/28/2013,99.4,99.4,99.01,99.29,70,6950.3
8/29/2013,99.2,99.2,99.18,99.18,650,64467
8/30/2013,99.29,99.3,99.29,99.3,350,34755
9/3/2013,99.15,99.15,99.1,99.11,80,7928.8
9/4/2013,99.47,99.48,99.47,99.48,50,4974
9/5/2013,99.54,99.54,99.54,99.54,70,6967.8
9/9/2013,98.9,99.4,98.9,99.4,80,7952
9/11/2013,99.09,99.1,99.09,99.1,200,19820
9/12/2013,99.55,99.55,99.55,99.55,30,2986.5
9/13/2013,98.91,98.91,98.49,98.52,1040,102460.8
9/17/2013,98.58,98.58,98.58,98.58,250,24645
9/18/2013,98.58,98.6,98.54,98.6,1710,168606
9/23/2013,98.58,98.58,98.58,98.58,70,6900.6
9/24/2013,97.66,98.57,97.66,98.12,700,68684
9/25/2013,98.01,98.01,97.91,98.01,700,68607
9/26/2013,98.27,98.27,98.27,98.27,50,4913.5
9/27/2013,98.27,98.27,98.26,98.26,290,28495.4
9/30/2013,98.57,98.57,98.16,98.4,590,58056
10/8/2013,98.6,98.6,98.2,98.2,160,15712
10/11/2013,98.59,98.59,98.18,98.54,890,87700.6
10/14/2013,98.2,98.23,98.2,98.23,140,13752.2
10/16/2013,98.25,98.25,98.25,98.25,120,11790
10/17/2013,97.67,98.17,97.6,97.66,2410,235360.6
10/18/2013,97.66,97.96,97.55,97.7,1560,152412
10/21/2013,97.59,97.59,97.59,97.59,10,975.9
10/22/2013,97.71,97.71,97.7,97.7,90,8793
10/23/2013,97.6,97.6,97.6,97.6,190,18544
10/24/2013,97.67,97.77,97.66,97.77,1360,132967.2
10/25/2013,97.89,97.89,97.8,97.8,440,43032
10/28/2013,97.8,97.8,97.8,97.8,200,19560
10/29/2013,97.5,97.5,97.5,97.5,60,5850
10/30/2013,97.82,97.82,97.82,97.82,10,978.2
11/1/2013,97.66,97.66,97.66,97.66,110,10742.6
11/4/2013,97.8,97.82,97.69,97.69,110,10745.9
11/5/2013,97.69,97.69,97.69,97.69,160,15630.4
11/8/2013,97.78,97.78,96.03,97.66,160,15625.6
11/11/2013,96.09,96.64,96,96.42,4050,390501
11/12/2013,95,96.83,95,96.09,730,70145.7
11/13/2013,96.19,96.19,96,96,140,13440
11/15/2013,95.6,96.15,95.6,95.61,620,59278.2
11/18/2013,95.6,95.65,95.3,95.35,470,44814.5
11/19/2013,95.4,95.4,95.02,95.04,680,64627.2
11/20/2013,94,95.5,94,95.44,670,63944.8
11/21/2013,94.51,95.79,94.5,95.06,1560,148293.6
11/22/2013,95.01,95.01,95,95,150,14250
11/25/2013,95.6,95.6,95.6,95.6,10,956
11/26/2013,95.4,95.4,95.1,95.1,110,10461
11/27/2013,95.2,95.2,94.97,95.14,260,24736.4
11/28/2013,95.26,95.26,94.5,94.97,1040,98768.8
11/29/2013,95.47,95.47,95,95.17,330,31406.1
12/2/2013,95,95,95,95,480,45600
12/4/2013,95.11,95.11,95.11,95.11,150,14266.5
12/5/2013,94.95,95,94.95,95,260,24700
12/6/2013,95,95,94.8,94.91,580,55047.8
12/9/2013,95.03,95.03,94.89,94.99,150,14248.5
12/10/2013,94.9,94.9,94.58,94.89,520,49342.8
12/11/2013,94.8,95.01,94.8,95.01,100,9501
12/12/2013,94.8,94.8,94.52,94.54,230,21744.2
